SIC7_5d,Description
81300,Landscape care and maintenance service activities
82110,Combined office administrative service activities
82190,"Photocopying, document preparation and other specialized office support activities"
82200,Activities of call centres
82300,Organization of conventions and trade shows
82910,Activities of collection agencies and credit bureaus
82920,Packaging activities
82990,Other business support service activities n.e.c.
84111,General public administration at National Government level
84112,General public administration at Provincial Government level
84113,General public administration at Local Government level
84121,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security at National Government level"
84122,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security at Provincial Government level"
84123,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security at Local Government level"
84131,Regulation of and contribution to more efficient operation of businesses at National Government level
84132,Regulation of and contribution to more efficient operation of businesses at Provincial Government level
84133,Regulation of and contribution to more efficient operation of businesses at Local Government level
84140,Extra budgetary account n.e.c.
84210,Foreign affairs
84220,Defence activities
84231,Public order and safety activities at National Government level
84232,Public order and safety activities at Provincial Government level
84233,Public order and safety activities at Local Government level
84300,Compulsory social security activities
85101,Pre-primary education and activities of after-school centres
85102,Primary education
85210,General secondary education
85220,Technical and vocational secondary education
85300,Higher education
85410,Sports and recreation education
85420,Cultural education
85490,Other education n.e.c.
85500,Educational support activities
86100,Hospital activities
86201,Medical practitioner- and specialist activities
86202,Dentist and specialist dentist activities
86209,Other medical and dental practice activities
86900,Other human health activities
87100,Residential nursing care facilities
87200,"Residential care activities for mental retardation, mental health and substance abuse"
87300,Residential care activities for the elderly and disabled
87900,Other residential care activities
88100,Social work activities without accommodation for the elderly and disabled
88900,Other social work activities without accommodation
90000,"Creative, arts and entertainment activities"
91010,Library and archives activities
91020,Museums activities and operation of historical sites and buildings
91030,Botanical and zoological gardens and nature reserves activities
92000,Gambling and betting activities
93110,Operation of sports facilities
93120,Activities of sports clubs
93190,Other sports activities
93210,Activities of amusement parks and theme parks
93290,Other amusement and recreation activities n.e.c.
94110,Activities of business and employers membership organizations
94120,Activities of professional membership organizations
94200,Activities of trade unions
94910,Activities of religious organizations
94920,Activities of political organizations
94990,Activities of other membership organizations n.e.c.
95110,Repair of computers and peripheral equipment
95120,Repair of communication equipment
95210,Repair of consumer electronics
95220,Repair of household appliances and home and garden equipment
95230,Repair of footwear and leather goods
95240,Repair of furniture and home furnishings
95290,Repair of other personal and household goods
96010,Washing and (dry-) cleaning of textile- and fur products
96021,Hairdressing
96022,Beauty treatment
96030,Funeral and related activities
96090,Other personal service activities n.e.c.
97000,Activities of households as employers of domestic personnel
98100,Undifferentiated goods-producing activities of private households for own use
98200,Undifferentiated service-producing activities of private households for own use
99011,Activities of extraterritorial organizations and bodies
99012,Representatives of foreign countries
99013,"Not economically active people, beggars, people living from hand-outs and charity, etc."
99014,"Unemployed people, people seeking work, etc."
